postal_code,kode_wilayah_concat,kode_provinsi,kode_kota_kabupaten,kode_kecamatan,kode_kelurahan
42174,3604202005,36,4,20,2005
42362,3602062003,36,2,6,2003
15612,3603272004,36,3,27,2004
42284,3601022007,36,1,2,2007
42362,3602062010,36,2,6,2010
42453,3604062011,36,4,6,2011
42165,3604322010,36,4,32,2010
15144,3671111004,36,71,11,1004
42286,3601042001,36,1,4,2001
15820,3603202009,36,3,20,2009
42353,3602102004,36,2,10,2004
42164,3604272001,36,4,27,2001
42250,3601332007,36,1,33,2007
42316,3602141008,36,2,14,1008
42265,3601092007,36,1,9,2007
42391,3602012006,36,2,1,2006
42250,3601332001,36,1,33,2001
42355,3602092021,36,2,9,2021
42273,3601232006,36,1,23,2006
42194,3604142006,36,4,14,2006
15551,3603332005,36,3,33,2005
42425,3672011005,36,72,1,1005
42162,3673061002,36,73,6,1002
42167,3604312011,36,4,31,2011
42446,3672041006,36,72,4,1006
42175,3604232016,36,4,23,2016
15531,3603082003,36,3,8,2003
42178,3604252003,36,4,25,2003
15312,3674071003,36,74,7,1003
42356,3602172009,36,2,17,2009
42260,3601122004,36,1,12,2004
15339,3603222003,36,3,22,2003
42164,3604272005,36,4,27,2005
15550,3603072001,36,3,7,2001
42261,3601172009,36,1,17,2009
15148,3671051002,36,71,5,1002
42273,3601232003,36,1,23,2003
42352,3602152010,36,2,15,2010
15531,3603081002,36,3,8,1002
42279,3601302002,36,1,30,2002
42270,3601182013,36,1,18,2013
15141,3671051009,36,71,5,1009
42365,3602272008,36,2,27,2008
42252,3601202004,36,1,20,2004
42161,3604052009,36,4,5,2009
42193,3604132002,36,4,13,2002
42260,3601122001,36,1,12,2001
15116,3671071006,36,71,7,1006
15820,3603202007,36,3,20,2007
42267,3601292010,36,1,29,2010
42264,3601282008,36,1,28,2008
42175,3604232008,36,4,23,2008
15621,3603062014,36,3,6,2014
42390,3602022017,36,2,2,2017
42357,3602182001,36,2,18,2001
42392,3602262001,36,2,26,2001
42281,3601062001,36,1,6,2001
42398,3602202009,36,2,20,2009
15711,3603192001,36,3,19,2001
15730,3603052008,36,3,5,2008
42455,3604082005,36,4,8,2005
42260,3601122015,36,1,12,2015
42438,3672061004,36,72,6,1004
42161,3604052014,36,4,5,2014
15154,3671131001,36,71,13,1001
15413,3674041001,36,74,4,1001
15820,3603202005,36,3,20,2005
42418,3672021002,36,72,2,1002
42363,3602072016,36,2,7,2016
42175,3604232015,36,4,23,2015
